,политика,политика,кино,кино,технологии,технологии,культура,культура
,Title,Text,Title,Text,Title,Text,Title,Text
0,Путин отверг возможность возврата к социализму,"Глава государства при этом допустил, что возможны элементы социализации экономики или социальной сферы.

Президент Владимир Путин считает реставрацию социализма в России невозможной. Об этом он заявил в ходе своей большой пресс-конференции в четверг.

— Справедливое распределение ресурсов, выстраивание политики государства так, чтобы снизить число бедных, обеспечить людей услугами здравоохранения и образования... Если говорить про социализацию в таком смысле, то на это и направлена политика сейчас, — объяснил он.

Президент России Владимир Путин сегодня в столичном Центре международной торговли (ЦМТ) проводит большую ежегодную пресс-конференцию, которая стала уже 14-й по счёту. Такой формат общения с прессой он поддерживает с 2001 года.","Маколей Калкин рассказал, что думает об играх по фильмам ""Один дома"" — видео","В Сети появилось великолепное видео, которое позволит каждому из зрителей поднять рождественское настроение.

Популярный американский видеоблогер The Angry Video Game Nerd (Джеймс Рольф) записал рождественский (164-й эпизод) своего шоу. Компанию ему составил актёр Маколей Калкин, более всего известный по ролям в двух частях фильма ""Один дома"".

Калкин и Рольф поиграли и обсудили все игровые адаптации фильмов ""Один дома"". Актёр остался доволен тем, как провёл время с блогером. По сюжету Калкин появился на экране в роли доставщика пиццы. Он пришёл к Рольфу с коробкой игр ""Один дома"" для разных игровых консолей и предложил сделать на них обзор. По ходу игры Маколей Калкин и Джеймс Рольф комментировали расхождения игры с сюжетом и отмечали достоинства и недостатки той или иной игры.

В итоге блогеру удалось создать отличное рождественское видео для тех, кто вырос в 90-е и любит творчество Маколей Калкина.",¯\_(ツ)_/¯ - В Windows 10 появятся смайлики из иероглифов,"Сейчас их ищут в Интернете и копируют, в следующем году их можно будет найти в операционной системе.

Microsoft на Windows 10 упростит отправку японских смайликов из иероглифов каомодзи вроде ¯\_(ツ)_/¯ или (╯°□°)╯. Об этом сообщает The Verge.

Разработчики операционной системы добавят короткую команду в виде горячих клавиш. По ней пользователю откроется ассортимент таких эмодзи, и он сможет вписать их в сообщение с помощью одного клика, а не набирать самому или копировать из источников в Интернете.

По имеющимся данным, каомодзи появятся в операционной системе в апреле следующего года. Известно, что обновление уже получило кодовое имя 19H1.","""Все умрут!"" Робб Старк из ""Игры престолов"" предсказал мрачный финал","Ричард Мэдден признался, что рад гибели своего персонажа, поскольку теперь он не знает сценариев и может наслаждаться поворотами сюжета.

Робб Старк из ""Игры престолов"", которого убили ещё в третьем сезоне на ""кровавой свадьбе"", ожидает мрачной концовки фантастического сериала. Своими предположениями 32-летний актёр Ричард Мэдден поделился с The Hollywood Reporter.

— Я думаю, что в конце останутся три дракона, летающих туда-сюда, а все остальные умрут. Никто не выживет, и это вполне возможно! — считает он.

По словам Мэддена, которому неизвестна настоящая развязка саги, он сам ждёт не дождётся финала. Старк признался, что за годы съёмок стал фанатом ""Игры престолов"" и даже рад гибели своего персонажа: теперь он не знает сценариев эпизодов заранее и может наслаждаться поворотами сюжета."
1,Путин пообещал поддерживать оппозиционных губернаторов,"Все избранные главы регионов, даже представители оппозиционного крыла, не останутся без поддержки со стороны федеральной власти. Об этом заявил президент Владимир Путин, выступая на своей большой пресс-конференции.

Глава государства признался, что для него самое главное заключается в том, чтобы жители конкретных субъектов ощутили, что их жизнь меняется к лучшему.

— На самом деле, если люди приняли решение в отношении конкретного человека, не представляющего партию ""Единая Россия"", ну и что? Это их выбор. Буду всячески помогать любому избранному руководителю региона, — заверил президент.

Путин добавил, что вопрос только в том, чтобы сам губернатор оказался на высоте и был в состоянии исполнить свои предвыборные обещания.

Ранее российский лидер рассказал, когда встретится с избранными губернаторами.","В Сети появился трейлер новых ""Людей в чёрном"" — видео","×

Обновление пользовательского соглашения

Мы непрерывно повышаем качество наших пользовательских служб и поэтому обновляем соглашение об использовании служб между ООО ""Медиа контент"" (далее — Компания) — издателем сетевого издания и телеканала Life.ru — и физическим лицом (далее — Пользователь) по использованию сайта www.life.ru (далее — Сайт).

Ознакомиться с данными изменениями Вы можете на странице""Пользовательское соглашение"".",Первый в мире веб-сайт запустили 28 лет назад,"Это сделал Тим Бернерс-Ли, британский учёный из Европейской организации по ядерным исследованиям (CERN).

28 лет назад, 20 декабря 1990 года, британский учёный из Европейской организации по ядерным исследованиям (CERN) Тим Бернерс-Ли запустил первый в мире веб-сайт. На веб-странице была описана новая технология глобального обмена информацией — ""Всемирная паутина"", которая стала основой для развития современного Интернета.

Первый в мире веб-сайт создан был на компьютере NeXT, за которым работал Тим в Женеве. По его задумке, проект должен был помочь учёным искать и делиться информацией. Идею ""Всемирной паутины"" Бернерс-Ли представил в 1989 году и тогда же получил одобрение на её воплощение.

Таким образом, сайт для внутреннего пользования info.cern.ch появился 20 декабря 1990 года. А первым в мире адресом веб-страницы стал http://info.cern.ch/hypertext/WWW/TheProject.html. На этом сайте появилось описание новой технологии World Wide Web, основанной на протоколе передачи данных HTTP, системе адресации URL и языке гипертекстовой разметки HTML. Там же объяснялись принципы установки и работы серверов и браузеров, технические детали для создания веб-страницы и инструкции по поиску информации в Интернете.","Эксперты оценили условия возврата Германии ценностей, вывезенных после войны","Собеседники Лайфа считают, что Берлину для начала нужно выплатить рыночную стоимость трофеев, поскольку они изымались в качестве репараций.

Германия захотела заполучить обратно находки Генриха Шлимана, Эберсвальдский клад и другие ценности, вывезенные в СССР после Второй мировой войны. Однако с притязаниями немцев на трофеи эксперты не согласны. Юрист Тимур Маршани сказал Лайфу, что ФРГ не имеет права ничего требовать у России.

— Германия не вправе требовать возврата ни культурных, ни исторических ценностей, ни предметов искусства, которые в период военных действий были получены Россией в качестве репараций. Поэтому если мы говорим о том, что культурные ценности могут быть возвращены Германии, то это только в знак доброй воли и возможности России проявить как правопреемнику СССР своё великодушие к побеждённой стороне с целью обмена культурными ценностями, которые в отношении германского государства могут быть предприняты нашей стороной как жест доброй воли, — подчеркнул он.

По словам Маршани, Германия до сих пор не выполнила часть требований по мирному договору. Речь идёт о выплате нанесённого оккупацией СССР материального ущерба, которая предполагалась соглашением. Собеседник Лайфа заявил о необходимости выполнить договорённости, достигнутые после Второй мировой. По его оценке, их пересмотр не сближает и не ведёт к конструктивному диалогу, а только разобщает страны и подрывает авторитет и доверие.

С мнением юриста согласился Армен Гаспарян — член Центрального совета Российского военно-исторического общества. Он считает, что Берлину для начала нужно выплатить рыночную стоимость трофейных культурных ценностей, поскольку они изымались за счёт репараций.

— Те самые репарации, которые получил Советский Союз, это лишь 10% от нанесённого стране ущерба. Там и человеческие жизни, и разрушенная промышленность и так далее и так далее. То есть, если сегодня немецкие власти начинают занимать позицию, что культурные ценности не должны быть в качестве репараций, окей, давайте это поддержим и скажем: тогда, друзья, по рыночной стоимости с учётом процентов, за эти годы накопившихся, инфляций вы выплачиваете остаток в полном объёме, — заявил Гаспарян.

По мнению собеседника Лайфа, до выполнения данных условий ""все эти разговоры абсолютно беспредметны"".

Ранее Германия призвала Россию вернуть ценности, вывезенные из страны после Второй мировой войны. В Посольстве ФРГ заявили, что воплощающие выдающиеся достижения нации и составляющие часть её истории и самобытности предметы искусства не должны использоваться в качестве компенсации за военные потери."
2,"Главное — не ""квасной"". Путин назвал патриотизм основой укрепления страны","Патриотизм должен выступать в роли основы для укрепления государства. Об этом заявил президент Владимир Путин, отвечая на вопрос о современной идеологии россиян.

При этом российский лидер подчеркнул, что данный термин следует рассматривать ""не в квасном смысле"" этого слова, а в широком и ""самом благородном"".

— В самом хорошем, не квасном понятии патриотизма, не может не быть идеи укрепления государства, — резюмировал Путин.

Все события пресс-конференции читайте в текстовой трансляции Лайфа.","Звезда ""Аквамена"" Джейсон Момоа вышел в свет с причёской школьницы","Фанаты популярного актёра, который чаще всего выбирает брутальные образы, удивились такому поступку.

Популярный американский актёр Джейсон Момоа появился на публике с достаточно необычной причёской школьницы. Свои длинные и вьющиеся волосы он решил связать розовыми резинками в два хвоста. И это притом, что звезда ""Аквамена"" отличается брутальным внешним видом, который подчёркивает его творческое амплуа.

Свой образ школьницы артист решил дополнить гавайским венком на шее. Этот предмет знаком ему с детства, так как 39-летний актёр родился в Гонолулу на Гавайях. В таком образе Момоа пришёл на шоу The Project TV.

Выбор причёски стал непонятен фанатам актёра. Однако Момоа отметил, что у него есть дети, у которых неплохо получается заплетать косички. По словам поклонников актёра, даже в таком образе он всё равно выглядел уверенно и мужественно.",В 2019 году Steam перестанет работать на старых Mac,"Разработчики сервиса цифровой дистрибуции заявили о прекращении дальнейшей поддержки клиента для нескольких операционных систем Apple.

Компания Valve объявила, что с 1 января 2019 года клиент Steam будет запускаться далеко не на всех Mac. Таким образом, сервис перестаёт поддерживать операционные системы OS X 10.7 Lion, OS X 10.8 Mountain Lion, OS X 10.9 Mavericks и OX X 10.10 Yosemite.

Единственным выходом из этой ситуации станет установка более новой версии операционной системы macOS. Для этого придётся обновить своё устройство до macOS 10.11 El Capitan и выше.

Само собой, эту операционную систему поддерживают далеко не все компьютеры Apple. Среди актуальных ПК фигурируют следующие: MacBook (модели начала 2015 года), MacBook (модели в алюминиевом корпусе конца 2008 года, модели начала 2009 года или новее), MacBook Pro (модели середины/конца 2007 года или новее), MacBook Air (модели конца 2008 года или новее), Mac mini (модели начала 2009 года или новее), iMac (модели середины 2007 года или новее), Mac Pro (модели начала 2008 года или новее), Xserve (модели начала 2009 года).",Обновление пользовательского соглашения,"×

Обновление пользовательского соглашения

Мы непрерывно повышаем качество наших пользовательских служб и поэтому обновляем соглашение об использовании служб между ООО ""Медиа контент"" (далее — Компания) — издателем сетевого издания и телеканала Life.ru — и физическим лицом (далее — Пользователь) по использованию сайта www.life.ru (далее — Сайт).

Ознакомиться с данными изменениями Вы можете на странице""Пользовательское соглашение""."
3,Путин анонсировал переговоры с Пашиняном на следующей неделе,"Президент РФ Владимир Путин на следующей неделе встретится с премьер-министром Армении Николом Пашиняном. Тот приедет в Москву с официальным визитом.

Глава государства напомнил, что Армения является стратегическим партнёром России. В отношениях двух стран ""ничего не рухнуло"", отмечает Владимир Путин. Кроме того, в развитии отношений Москва и Ереван будут исходить ""из реалий текущей ситуации в мире и потребностей своих возможностей"".

— Мы это в ближайшее время обсудим с господином Пашиняном, который должен на следующей неделе приехать с визитом, — подытожил российский лидер.

Все новости пресс-конференции российского лидера читайте в трансляции Лайфа.",Экранизация Uncharted вновь лишилась режиссёра,"На этот раз от проекта отказался Шон Леви, который ранее работал над популярным сериалом ""Очень странные дела"".

Студия Sony ищет нового режиссёра для экранизации игры Uncharted. Об этом пишет Eurogamer. Кресло постановщика освободил Шон Леви, ранее работавший над сериалом ""Очень странные дела"". Режиссёр отказался от проекта и планирует вместо этого снимать фильм ""Свободный"", главную роль в котором исполнит Райан Рейнольдс.

Компания Sony уже несколько лет пытается экранизировать Uncharted. В разное время к проекту присматривались Сет Гордон, Нил Бёргер и Джо Карнахан. Однако экранизация вновь и вновь оказывается без режиссёра.

Согласно слухам, фильм ""Неизведанное: Удача Дрейка"" должен стать приквелом игры и рассказать о первом приключении бесстрашного искателя сокровищ Нейтана Дрейка. Исполнителем главной роли всё ещё значится Том Холланд (новый Человек-паук), однако в настоящий момент сложно сказать, останется ли актёр с этой картиной.",Появилось пятно. Пользователи iPad Pro 2017 года жалуются на дефект экрана,"Похоже, проблема заключается в подсветке. Одна область на дисплее горит ярче, чем весь экран.

Пользователь iPad Pro 2017 года пожаловался на дефект дисплея. Об этом сообщает MacRumors.

На экране его планшета образовалось пятно, которое оказывается ярче других областей. Отмечается, что девайс находится в отличном состоянии и не падал, он носится в защитной плёнке и чехле.

Другие пользователи iPad Pro 2017 года сообщают об идентичной проблеме. По их мнению, она возникла из-за неправильной работы подсветки.

Apple не отреагировала на жалобы пользователей. Отметим, что замена экрана стоит $449 для 10,5-дюймовой модели и $599 для 12,9-дюймовой версии.

Ранее пользователи iPad Pro 2018 года пожаловались на погнутые корпусы. Apple признала наличие дефекта, но заявила, что не считает его багом, так как это не мешает работе планшета.","Умер один из режиссёров программы ""Спокойной ночи, малыши!"" Дмитрий Калинин","Прощание с актёром пройдёт в понедельник, 24 декабря, в Новом арт-театре, место похорон уточняется.

Худрук и основатель Нового арт-театра"" в Москве, режиссёр, драматург, актёр Дмитрий Калинин скончался на 53-м году жизни в Москве. Об этом сообщает ТАСС со ссылкой на представителя театра.

По его словам, режиссёр в последние месяцы тяжело болел. Прощание с Калининым пройдёт в понедельник, 24 декабря, в Новом арт-театре"". Место похорон уточняется.

В 1994 году он организовал театральную студию ""Я сам артист"" для детей, а позднее одноимённый театр. В 1997 году Дмитрий Калинин был режиссёром серии программ ""Спокойной ночи, малыши!"" Актёр ставил спектакли в Театре на Юго-Западе. Бывшие и настоящие воспитанники Калинина играли в его Новом арт-театре""."
4,"Путин ответил на вопрос, хочет ли он править миром","Президент России Владимир Путин в ходе большой пресс-конференции в четверг ответил на вопрос журналистки Wall Street Journal, хочет ли он ""править миром"".

— Ну конечно, — в шутку отреагировал Путин, а затем добавил уже всерьёз. — Что касается управления миром, то мы знаем, где находится такой штаб, и он не в Москве.

Говоря о ""российской угрозе"", которой запугивают западных обывателей, Путин отметил, что это всего лишь штамп, позволяющий властям США решать блоковые задачи.

— Главная цель нашей внешней политики — обеспечить движение вперёд, чтобы она заняла достойное место на международной арене как равный среди равных, — подытожил российский лидер.

Все события 14-й большой ежегодной пресс-конференции российского лидера Владимира Путина, проходящей сегодня в Москве, можно узнать в трансляции Лайфа.",Обновление пользовательского соглашения,"Новый комикс по ""Звёздным войнам"" Darth Vader No. 25 подтвердил давнюю фанатскую теорию о происхождении Энакина Скайуокера.

Согласно сюжету ленты ""Скрытая угроза"" Шми, мать Энакина, родила мальчика от чудесного непорочного зачатия. Квай-Гон считал, что это произошло благодаря воле самой Силы. Однако фанаты давно спекулировали, что ""чудо"" было не случайным и что ситуацию кто-то подстроил.

Из нового комикса стало известно, что ""отец"" Энакина — Палпатин (Дарт Сидиус, будущий император). Именно он манипулировал потоками Силы, чтобы создать могущественного тёмного джедая в утробе Шми.

Само собой, секса между ними не было. Однако манипуляций Сидиуса вполне достаточно, чтобы теперь считать Палпатина отцом Дарта Вейдера. Сцену ""зачатия"" видит сам Дарт Вейдер, когда погружается в медитацию Силы и наблюдает собственную жизнь с её самого начала. Возможно, в дальнейшем это будет использовано сценаристами и подано так, что Вейдеру просто кто-то внушил, что его отец — Палпатин.","Смартфоны, одежда, фастфуд. Названы 20 любимых брендов россиян в 2018 году","Лидером восьмой год подряд остаётся Samsung, в первую пятёрку также входят Apple и Sony.

Исследователи Online Market Intelligence составили топ-20 брендов среди россиян в 2018 году. В опросе приняли участие 1500 жителей страны в возрасте от 18 до 55 лет.

Первое место занял бренд смартфонов и другой электроники Samsung, ему отдали предпочтение 18% опрошенных. Отметим, что эта марка лидирует последние восемь лет. На втором и третьем местах оказались бренды одежды Adidas и Nike соответственно.

Четвёртое и пятое места заняли бренды электроники Apple и Sony. Далее идут Coca-Cola, Bosch, LG, Zara, O’Stin, Xiaomi, H&M, Chanel, Reebok, Philips, ASUS, BMW, McDonald’s, Puma и Mercedes.",Мария Шарапова снялась в клипе на песню Spice Girls – видео,"Популярная российская теннисистка отметила, что она немного смущалась во время съёмок.

Мария Шарапова вместе с другими знаменитостями приняла участие в съёмках клипа на песню Wannabe группы Spice Girls. Соответствующее видео появилось на YouTube-канале Vogue Russia.

Компанию российской звезде тенниса составили бизнес-леди Оливия Палермо, модель Магдалена Фраковяк и другие женщины. При этом Шарапова заявила, что она немного смущалась во время съёмок.

Напомним, клип Wannabe британский женский коллектив Spice Girls выпустил в 1996 году. Песня была лидером британского чарта на протяжении семи недель."
5,Обновление пользовательского соглашения,"Российский лидер Владимир Путин назвал два самых главных события уходящего года. Глава государства считает, что это чемпионат мира по футболу и выборы президента РФ.

— Это выборы президента. Это важно для всей страны. И чемпионат мира по футболу. Это тоже важно для всей страны и всего мира, — заявил глава государства.

Как уже сообщал Лайф, Владимир Путин победил на выборах 2018 года, набрав 76,69% голосов.

Что касается домашнего мундиаля, то он проходил в этом году в России в 11 городах нашей страны. Сборная России дошла до четвертьфинала, однако главный тренер сборной Станислав Черчесов пообещал, что на ЧМ-2022 наша сборная выступит лучше.

Пресс-конференция лидера страны идёт уже почти четыре часа.",Джеймса Бонда предложили сделать трансгендером,"×

Обновление пользовательского соглашения

Мы непрерывно повышаем качество наших пользовательских служб и поэтому обновляем соглашение об использовании служб между ООО ""Медиа контент"" (далее — Компания) — издателем сетевого издания и телеканала Life.ru — и физическим лицом (далее — Пользователь) по использованию сайта www.life.ru (далее — Сайт).

Ознакомиться с данными изменениями Вы можете на странице""Пользовательское соглашение"".",Обновление пользовательского соглашения,"По мнению экспертов, рост цен на связь неизбежен, потому что мобильные операторы не могут игнорировать законы рынка.

Сегодня три сотовых оператора страны (""Мегафон"", ""Билайн"" и Tele2) начали извещать абонентов о повышении тарифов на связь. О том, что тарифные ставки неизбежно вырастут, было известно ещё давно, но телеком-компании не спешили уведомлять клиентов. Наверное, любые повышения, кроме своей зарплаты, по-умолчанию воспринимаются в штыки. Лайф пытается разобраться, с чем связан рост цен, на сколько вырастет стоимость мобильной связи и адекватен ли такой новогодний сюрприз.

На главную причину роста тарифов операторы указывают в разговоре с клиентами. Например, пользователям компании ""Билайн"" в письмах счастья говорится, что тарифы будут изменены с 1 января, а в беседе со службой поддержки отмечается, что оператор выполняет федеральный закон по изменению ставки НДС. Шаблоны для ответа (и методички сотрудникам компании), видимо, были подготовлены ещё в конце ноября, когда стало ясно, что повышение тарифов неизбежно. Своих клиентов также предупредил ""Мегафон"", который уточнил, что переход на новые цены состоится 9 января. Из провайдеров ""большой четвёрки"" пока что только МТС не спешит уведомлять клиентов, однако Лайфу известно, что компания скоро тоже подготовит своих абонентов к повышению тарифных ставок.

Рост цен неизбежен не только среди продуктов телеком-провайдеров, но и в других сегментах рынка. Как ранее заявил премьер-министр страны Дмитрий Медведев, решение повысить НДС с 18% до 20% является наименее болезненным для россиян и для экономики по сравнению с другими вариантами увеличения доходов бюджета. Получается, что из-за изменения налоговой ставки растёт налоговая нагрузка на бизнес, который вынужден компенсировать расходы повышением тарифов. Законы рынка не изменить, операторы не могут себе позволить игнорировать изменения законодательства и тормозить в развитии.

Как стало известно из сообщений абонентов ведущих операторов страны, повышения в целом незначительные и не должны заставить клиентов мигрировать от одного провайдера к другому. По словам главы Telecom Daily Дениса Кускова, кроме изменения НДС рост цен вызван и другими причинами. ""Прежде всего, это необходимость исполнения ""закона Яровой"", изменения курса рубля и инфляция"", — заявил эксперт. Кусков заметил, что операторы не могут заниматься меценатством, потому что и так выполняют разные социальные функции, а расходы бизнес вынужден перекладывать на плечи абонентов.

""Однозначное повышение ценовых характеристик будет. Это не значит, что рост цен у одного оператора приведёт к молниеносному оттоку аудитории к другому"", — говорил Денис Кусков в разговоре с Лайфом ещё в ноябре. По словам Кускова, абоненты должны принять это как данность, а провайдеры — честно донести информацию о том, что повышение коснётся всех игроков рынка, до своей аудитории. Чем операторы, собственно, сейчас и занимаются.

Ещё одной причиной для спокойствия абонентов должен стать факт, что в России наблюдаются довольно низкие цены на связь по сравнению с остальным миром. Отметим, что сохраняется адекватная стоимость не только голосовых звонков, но и цена мобильного интернета — более важной и востребованной в современных реалиях рынка услуги. Так, согласно исследованию Content Review за лето 2018 года, Россия вошла в топ-10 стран с самым дешёвым мобильным интернетом. Например, при средней мировой стоимости 280,49 рубля за 1 Гб трафика в нашей стране этот показатель равен 65,2 рубля.

Своевременное объяснение повышения тарифов должно успокоить абонентов и приготовить к тому, что в следующем году платить за разговоры, SMS и Интернет придётся немного больше. Не только в интересах самих операторов или государства, но и в интересах клиентов, которые наверняка хотят и дальше пользоваться качественной связью.",Певица Рианна рассказала фанатам о новом альбоме,"По словам певицы, его звучание будет похожим на музыку, которую писали Боб Марли и Supa Dups.

Популярная певица Рианна объявила, что в 2019 году она выпустит новый альбом. Об этом сообщает Bustle.

Певица заявила, что будущая пластинка будет выполнена в стиле регги. Звучание нового альбома будет похожим на музыку Боба Марли и Supa Dups. Вместе с этим певица заявила, что альбом будет танцевальным. Всего в него войдёт 10 песен. По словам Рианны, изначально для этого проекта было создано порядка 500 записей.

Напомним, последний альбом на данный момент Рианна выпустила в 2016 году. Новый альбом будет девятым по счёту у певицы."
6,"Не как обычно. Политтехнолог перечислил главные ""фишки"" пресс-конференции Путина","Мероприятие длилось 3 часа 44 минуты. За это время российский лидер успел ответить на 68 вопросов.

Большая пресс-конференция президента РФ Владимира Путина не только стала рекордсменом по числу журналистов, но была несколько нестандартной. А в чём заключается неординарность мероприятия, Лайфу рассказал директор Института политической социологии Вячеслав Смирнов.

— Пресс-конференция была даже несколько нестандартной, потому что, как отметил президент, иногда походила на такой несанкционированный митинг. Возможно, это просто тенденция времени и не стали организовывать журналистов, это было даже интересно, что они с табличками в неформальной форме и шумно задавали вопросы, может быть, иногда излишне долго и сладко делая вступления, особенно это касалось региональных журналистов, — считает он.

Политтехнолог особенно выделил вопросы, касавшиеся ядерной войны, украинской провокации в Керченском проливе, мировых конфликтов и дорожной карты. По его мнению, Путин достаточно подробно и развёрнуто отвечал, показывая, что он владеет цифрами, ситуацией. Собеседник Лайфа заявил, что пресс-конференция показала порицание закручивания гаек, которое позволяют себе некоторые чиновники и силовики. После мероприятия, по мнению Смирнова, сложилось впечатление, что ""страна движется в правильном направлении, в прогрессивном"".

Напомним, в Москве завершилась 14-я по счёту большая пресс-конференция президента РФ Владимира Путина. Она длилась 3 часа 44 минуты, за которые российский лидер успел ответить на 68 вопросов.","Комедия ""Полицейский с Рублёвки"" стала лидером российского проката","×

Обновление пользовательского соглашения

Мы непрерывно повышаем качество наших пользовательских служб и поэтому обновляем соглашение об использовании служб между ООО ""Медиа контент"" (далее — Компания) — издателем сетевого издания и телеканала Life.ru — и физическим лицом (далее — Пользователь) по использованию сайта www.life.ru (далее — Сайт).

Ознакомиться с данными изменениями Вы можете на странице""Пользовательское соглашение"".","Facebook начал делить СМИ на ""фейковые"" и ""нефейковые""","Соцсеть составляет досье на СМИ, которые цитируются пользователями. Таким способом соцсеть борется с распространением фейковых новостей. По мнению разработчиков, если читатель получит подробную информацию о первоисточнике, он самостоятельно сможет принять решение о том, фальшивая перед ним новость или нет.

В десктопной версии ""Фейсбука"" появилась возможность посмотреть подробную информацию о сайте, на странице которого была размещена новость, заметил Лайф.

В постах со ссылками на сторонние сайты появилась клавиша ""i"". Нажав на неё, вы получите краткое описание ресурса, дату регистрации домена, другие ссылки и страны, пользователи которых также разместили увиденную вами публикацию.

Известные американские СМИ получили досье на себя в соцсети. Среди российских оно пока есть не у всех: анкета заполнена, к примеру, у ""Известий"", ""Ведомостей"" и ""РБК"", а у ""Коммерсанта"" нет.

""Фейсбук"" не комментировал нововведение, однако ранее программисты соцсети заявляли, что досье на цитируемые издания — это один из способов борьбы с фейковыми новостями: пользователи узнают, кто именно является их источником, и сами решат, стоит ли ему доверять.","В Минкультуры подвели итоги конкурса ""Мой любимый музей""","×

Обновление пользовательского соглашения

Мы непрерывно повышаем качество наших пользовательских служб и поэтому обновляем соглашение об использовании служб между ООО ""Медиа контент"" (далее — Компания) — издателем сетевого издания и телеканала Life.ru — и физическим лицом (далее — Пользователь) по использованию сайта www.life.ru (далее — Сайт).

Ознакомиться с данными изменениями Вы можете на странице""Пользовательское соглашение""."
